DBN,sch.name,sch.pop,sch.rig.instr,sch.coll.teach,sch.support.env,sch.eff.lead,sch.fam.inv,sch.trust,sch.ela,sch.mth,sch.ell,sch.iep,sch.contained,sch.ENI,sch.tmp.hous,sch.HRA,sch.eth.aapi,sch.eth.bl,sch.eth.his,sch.eth.wh,sch.princ.yrs,sch.teach.3plus,sch.st.att,sch.abs.18plus,sch.tch.att,sch.coll.3sem,sch.grad
01M292,Orchard Collegiate Academy,197,0.73,0.78,0.76,0.83,0.85,0.9,2.7,2.33,0.117,0.289,0.005,0.87,0.183,0.782,0.096,0.269,0.569,0.03,4,0.75,0.917,0.289,0.97,0.395,0.89
01M448,University Neighborhood High School,483,0.86,0.91,0.83,0.91,0.86,0.93,2.97,2.99,0.147,0.17,0,0.83,0.18,0.723,0.369,0.195,0.383,0.046,0.7,0.6,0.909,0.274,0.967,0.669,0.94
01M450,East Side Community School,370,0.9,0.95,0.84,0.95,0.97,0.95,3.07,3.06,0.016,0.246,0,0.68,0.084,0.541,0.13,0.192,0.522,0.124,17.9,0.811,0.938,0.146,0.975,0.68,0.9
01M509,Marta Valle High School,127,0.66,0.54,0.63,0.59,0.8,0.71,2.79,2.36,0.063,0.276,0.047,0.81,0.134,0.74,0.071,0.37,0.512,0.024,4.1,0.385,0.796,0.628,0.969,0.397,0.92
01M539,"New Explorations into Science, Technology and Math",615,0.83,0.75,0.71,0.77,0.92,0.82,3.7,3.9,0.003,0.143,0.002,0.4,0.02,0.285,0.268,0.124,0.187,0.39,4.1,0.738,0.952,0.096,0.965,0.894,1
01M696,Bard High School Early College,615,0.88,0.77,0.81,0.85,0.87,0.87,3.88,4.1,0.002,0.076,0,0.4,0.026,0.293,0.293,0.111,0.171,0.398,8.9,0.868,0.948,0.114,0.97,0.811,0.99
02M047,47 The American Sign Language and English Secondar,196,0.68,0.72,0.68,0.74,0.82,0.82,2.93,2.69,0.046,0.27,0.01,0.77,0.163,0.673,0.031,0.276,0.643,0.046,11.1,0.364,0.9,0.352,0.975,0.686,0.93
02M135,The Urban Assembly School for Emergency Management,265,0.79,0.8,0.67,0.8,0.86,0.86,2.85,2.49,0.034,0.223,0.004,0.81,0.158,0.702,0.06,0.283,0.6,0.034,1.1,0.708,0.86,0.465,0.967,0.609,0.9
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,401,0.71,0.74,0.65,0.79,0.84,0.83,2.74,2.59,0.072,0.257,0,0.83,0.117,0.721,0.042,0.264,0.631,0.042,6.1,0.659,0.849,0.527,0.971,0.283,0.88
02M260,The Clinton School,433,0.81,0.76,0.71,0.77,0.83,0.86,3.68,3.62,0.005,0.18,0,0.25,0.009,0.152,0.111,0.055,0.143,0.628,7.9,0.735,0.946,0.149,0.973,N<15,0.9
